name,province,price,bedroom,bathroom,parkingarea,surfacearea,buildingarea,link
Taman Laguna Cibubur LT 207 LB 250 Murah dan Siap Nego ,Bekasi,"2,2 Miliar",5,3,0,207,250,https://www.rumah123.com/properti/bekasi/hos9649254/
Rumah Ternyaman di Setraduta Bandung,Bandung,"1,6 Miliar",3,3,0,104,120,https://www.rumah123.com/properti/bandung/hos8853169/
Perumahan Kota Wisata Cibubur Cluster Miami,Bogor,"2,7 Miliar",4,4,0,162,164,https://www.rumah123.com/properti/bogor/hos7866009/
Jual Cepat Rumah Cantik di Town House Indraprasta,Bogor,"1,5 Miliar",3,3,0,100,106,https://www.rumah123.com/properti/bogor/hos9611400/
Rumah View Pegunungan Aurora Bukit Rancamaya Residence,Bogor,605 Juta,2,1,1,98,32,https://www.rumah123.com/properti/bogor/hos9195805/
Rumah Murah Minimalis Sentul Indah Residence,Bogor,430 Juta,2,1,1,60,30,https://www.rumah123.com/properti/bogor/hos9477235/
Rumah Bagus di Taman Kopo Indah 3,Bandung,950 Juta,2,1,0,102,70,https://www.rumah123.com/properti/bandung/hos6783199/
Rumah murah lokasi strategis di sayap kota bandung  ( cash only),Bandung,164 Juta,1,1,1,40,21,https://www.rumah123.com/properti/bandung/hos9758832/
rumah cantik minimalis modern idaman terbaru Dengan suasana asri,Bandung,480 Juta,3,2,0,120,80,https://www.rumah123.com/properti/bandung/hos8111313/
hunian terlaris di Bandung,Bandung,500 Juta,4,2,0,120,80,https://www.rumah123.com/properti/bandung/hos8254492/
Rumah Cantik yang Luas dekat Tol,Depok,"2,1 Miliar",3,3,0,128,170,https://www.rumah123.com/properti/depok/hos4913676/
HARGA GA BISA BOHONG RUMAH PALING CANTIK INI ADA DI PASTEUR BANDUNG,Bandung,"4,25 Miliar",3,2,0,198,200,https://www.rumah123.com/properti/bandung/hos9756266/
FREE FULL FURNISH KAPAN LAGI BISA DAPAT RUMAH SECANTIK INI DI GUNUNG BATU BANDUNG,Bandung,"1,65 Miliar",3,2,0,128,120,https://www.rumah123.com/properti/bandung/hos9756190/
"Rumah Sejuk di Summarecon, Bandung Timur",Bandung,"4,75 Miliar",2,2,1,228,178,https://www.rumah123.com/properti/bandung/hos8918155/
Rumah mewah baru Batununggal Indah,Bandung,"4,8 Miliar",4,3,0,334,300,https://www.rumah123.com/properti/bandung/hos8363129/
Rumah Adem di Kolonel Masturi Cimahi,Bandung,"1,24 Miliar",3,2,1,105,90,https://www.rumah123.com/properti/cimahi/hos8923276/
"Perumahan Griya Bintara Indah Blok I No. 33, Bekasi Barat (dekat Tol Bintara)",Bekasi,"1,5 Miliar",3,2,0,100,300,https://www.rumah123.com/properti/bekasi/hos9711175/
Rumah Cantik Bagi Kaum Milenial,Bekasi,516 Juta,2,1,1,90,36,https://www.rumah123.com/properti/bekasi/hos8000977/
Rumah Cantik 2 Lantai Depan Taman,Depok,851 Juta,3,2,2,105,68,https://www.rumah123.com/properti/depok/hos7856744/
Di Jatiasih Rumah Mewah 2 Lantai Fasilitas Lengkap,Bekasi,900 Juta,2,2,2,60,51,https://www.rumah123.com/properti/bekasi/hos9707897/
"Rumah Minimalis Terawat, 2 Kamar Tidur , Posisi Jalan Utama Dengan lebar jalan 6 Meter",Bandung,350 Juta,2,1,0,84,60,https://www.rumah123.com/properti/bandung/hos8366517/
Rumah Minimalis di Bandung Dengan Desain modren,Bandung,261 Juta,2,1,1,70,50,https://www.rumah123.com/properti/bandung/hos8366491/
"Hunian Aman , Nyaman Dan Bebas Banjir",Bandung,261 Juta,3,2,0,120,75,https://www.rumah123.com/properti/bandung/hos7868768/
Rumah Dijual Singgasana Dewata Prana,Bandung,"2,59 Miliar",4,3,4,152,230,https://www.rumah123.com/properti/bandung/hos9129934/
Rumah murah dibandung lebar jln utama 8 meter,Bandung,433 Juta,3,2,1,108,80,https://www.rumah123.com/properti/bandung/hos9625804/
RUMAH DEPOK 2 LANTAI DIBAWAH PASARAN,Depok,400 Juta,2,2,1,40,72,https://www.rumah123.com/properti/depok/hos9257744/
Dijual rumah baru 2 lantai di pondok gede harga paling murah! Pasti Untung,Bekasi,895 Juta,3,2,1,65,72,https://www.rumah123.com/properti/bekasi/hos9591314/
Di Jatiasih Hunian mewah 2 lantai fasilitas lengkap! Pasti Untung,Bekasi,900 Juta,2,2,0,60,48,https://www.rumah123.com/properti/bekasi/hos3307011/
rumah berkualitas aman dan nyaman di Bandung,Bandung,250 Juta,2,1,0,60,40,https://www.rumah123.com/properti/bandung/hos7814616/
Rumah Mezzanine Design Exclusive  Di Jatimulya Bekasi Dekat Tol dan LRT Bekasi Timur,Bekasi,539 Juta,2,1,1,60,45,https://www.rumah123.com/properti/bekasi/hos7316986/
"Turun Harga! Rumah siap huni sudah renov, tinggal masuk di TKI 2 patung kuda",Bekasi,900 Juta,2,1,0,112,90,https://www.rumah123.com/properti/bekasi/hos8661247/
Rumah KPR pribadi / KPR Syariah,Depok,100 Juta,2,1,1,55,36,https://www.rumah123.com/properti/depok/hos9869891/
"Rumah Siap Huni Ancol Timur, Moh Ramdan, BKR Dekat Pasar Ancol jalan besar",Bandung,"1,75 Miliar",3,2,2,180,150,https://www.rumah123.com/properti/bandung/hos8785934/
"Rumah 2lt di sayap bkr , pasirluyu , kembar",Bandung,550 Juta,2,1,0,49,70,https://www.rumah123.com/properti/bandung/hos9751782/
Rumah Di Bogor Dekat Stasiun Cilebut Bogor,Bogor,730 Juta,4,3,2,60,69,https://www.rumah123.com/properti/bogor/hos9791187/
Villa view pegunungan sejuk & strategis dekat tol bandung,Bandung,"2,57 Miliar",3,3,2,165,127,https://www.rumah123.com/properti/bandung/hos9778599/
Rumah Di Cibinong Bogor Nuansa Jepang,Bogor,658 Juta,2,1,2,72,38,https://www.rumah123.com/properti/bogor/hos9790975/
"Rumah BARU, MODERN dan MEWAH setra duta bandung, harga nego",Bandung,"2,75 Miliar",4,4,1,95,150,https://www.rumah123.com/properti/bandung/hos9790933/
Rumah Bagus Area Kopo Katapang,Bandung,350 Juta,2,1,1,60,47,https://www.rumah123.com/properti/bandung/hos9822538/
Rumah murah di Citayam Depok dekat ke stasiun,Depok,285 Juta,2,1,1,60,42,https://www.rumah123.com/properti/depok/hos9244347/
Rumah Minimalis Modern 2 Lantai bebas Banjir & Akses Tol DESARI,Depok,"2,95 Miliar",3,4,1,300,156,https://www.rumah123.com/properti/depok/hos9546405/
JUAL RMH BAGUS TERAWAT SIAP HUNI CLUSTER LAMARGAS RESIDENCE,Bandung,"3,5 Juta",3,4,2,222,196,https://www.rumah123.com/properti/bandung/hos9758239/
Rumah berkualitas harga standar fullspeek,Bandung,150 Juta,2,1,1,50,36,https://www.rumah123.com/properti/bandung/hos9784350/
rumah siap huni strategis di Arcopolis Cibinong dekat stasiun Bojonggede dan pemda Cibinong,Bogor,450 Juta,2,1,0,60,40,https://www.rumah123.com/properti/bogor/hos8412738/
rumah cantik asri dan minimalis dekat stasiun Cilebut,Bogor,382 Juta,2,1,0,70,35,https://www.rumah123.com/properti/bogor/hos7629318/
RUMAH MINIMALIS MODERN DEKAT PINTU TOL CIMANGGIS,Depok,625 Juta,2,1,2,84,45,https://www.rumah123.com/properti/depok/hos9327708/
Rumah Kavling Pertamina Cibubur,Depok,"1,28 Miliar",3,2,2,120,103,https://www.rumah123.com/properti/depok/hos9666076/
Rumah luas dan apik 1 lantai komplek sawangan dekat de park mall,Depok,"1,4 Miliar",3,2,2,256,80,https://www.rumah123.com/properti/depok/hos9731119/
Rumah Bagus Cluster Taman Menteng Lippo Cikarang,Cikarang,"2,25 Miliar",3,2,0,287,180,https://www.rumah123.com/properti/cikarang/hos9784496/
Rumah Cluster Vassa Residence Lippo Cikarang,Cikarang,5 Miliar,4,4,0,521,336,https://www.rumah123.com/properti/cikarang/hos9785799/
Rumah Sayap Pasteur di Dekat setra duta dan Setiabudi Harga di bawah harga pasar di Bandung,Bandung,"2,2 Miliar",4,4,0,200,250,https://www.rumah123.com/properti/bandung/hos9206140/
Rumah murah Lux area siap huni 15 menit ke pintutol jatiasaih,Bogor,890 Juta,2,2,1,70,112,https://www.rumah123.com/properti/bogor/hos9560504/
Rumah Cluster mewah dekat jalan utama dan tol sawangan (cash) R.p,Depok,325 Juta,2,1,1,40,62,https://www.rumah123.com/properti/depok/hos9787454/
Di jual rumah berlokasi di kebun kembang asri lokasi strategis,Purwakarta,450 Juta,2,1,1,142,28,https://www.rumah123.com/properti/purwakarta/hos9334479/
Jual rumah di pusat kota karawang ,Karawang,700 Juta,2,1,1,125,45,https://www.rumah123.com/properti/karawang/hos9073773/
Ready Stock Brand New Minimalis,Depok,990 Juta,3,2,1,60,90,https://www.rumah123.com/properti/depok/hos9787056/
Rumah pinggir jalan harga promo dekat stasiun,Depok,280 Juta,2,1,1,60,40,https://www.rumah123.com/properti/depok/hos9244356/
rumah dicibubur,Bogor,"1,05 Miliar",3,3,1,120,150,https://www.rumah123.com/properti/bogor/hos9786570/
